replication_id,training_months,xi_bias,sigma_relative_bias,q99_relative_error
27,60,0.0271716235861516,-0.0276399191196203,0.0560129960521502
28,12,0.0064954165324594,-0.0333920627536816,0.005881980425498
28,24,-0.1240616678769835,0.1763188768876188,-0.1399984042016588
28,60,-0.0325853755261043,0.0549354880362377,-0.042550927122276
29,12,-0.1008100258035005,0.0266739078550044,-0.2098353422613021
29,24,-0.0796627896288407,0.0004874834835337,-0.1941988132923419
29,60,-5.739876265598021e-05,-0.0104922581865291,0.051641711938214
30,12,-0.0583217707941936,0.0267920552655345,-0.093482995016594
30,24,0.0135427334551404,-0.0046866791490125,0.0488713063654179
30,60,-0.0227262073788206,0.0398023727569882,-0.0352543504791383
31,12,-0.0380339386170931,0.0556833609451163,-0.0313489290057642
31,24,0.0046741600861684,0.1543705893063986,0.0616678138821995
31,60,-0.0444135434940431,0.1710777455512383,0.0007136772472517
32,12,-0.095252249991097,-0.0283245901413132,-0.2493798388617984
32,24,-0.0819562124592514,0.0165531599429773,-0.131850057235378
32,60,-0.0566842448062077,0.0046674763074516,-0.1125101724118507
33,12,0.0160598367290908,0.0053834366351316,0.086402651117002
33,24,-0.0126924571595065,-0.0138625665954907,0.0031524354459753
33,60,-0.0414628334380031,0.0085941004702571,-0.115550153960338
34,12,0.0343492862768817,0.0631779389671007,0.177713007217263
34,24,0.0626543378373906,-0.0030822607735192,0.2016864938635134
34,60,0.0687263395814244,-0.0607877416733743,0.202364621435817
35,12,0.0232776370784363,-0.0665835455025508,0.0656344950193969
35,24,-0.0359420918166057,0.0934280688793934,-0.0555472521687938
35,60,-0.054585056966576,0.0726279225506047,-0.0642413019598928
36,12,-0.0920012740139723,0.0678235351907488,-0.1943781385894618
36,24,0.0226123986831175,0.0297767896286749,0.0874709460560412
36,60,-0.0255340555352964,0.0705220887176173,0.0011589734156376
37,12,0.1844069738040443,-0.2304737235781412,0.6907510269183044
37,24,0.0738991638249504,-0.0847249917040756,0.2206092064027522
37,60,0.0175379238552376,-0.0731210435754452,0.0188418237662962
