alpha,utilization,cell_id,oracle_mode,method_id,action_accuracy,mean_regret_cny,mean_regret_over_oracle,mean_regret_over_capacity,mean_d_mv,oracle_margin_cny
1.1,0.68,A110_U680,capacity,TAIL,0.985,6842.738104793704,0.0013950971993635613,0.0013950971993635613,1.3107723269843023,431626.5228663273
1.1,0.7,A110_U700,capacity,EMP,0.998,1598.374611307958,0.0003354611630809145,0.0003354611630809145,1.0769029407560096,571765.0043164333
1.1,0.7,A110_U700,capacity,EVENT-EMP,1.0,0.0,0.0,0.0,1.034215967355215,571765.0043164333
1.1,0.7,A110_U700,capacity,GEV,0.998,1583.1539776848667,0.0003322667107779887,0.0003322667107779887,1.0639786183316537,571765.0043164333
1.1,0.7,A110_U700,capacity,KDE,0.998,1143.5300086328666,0.0002399999999999998,0.0002399999999999998,1.2531018324089287,571765.0043164333
1.1,0.7,A110_U700,capacity,TAIL,0.999,571.7650043164333,0.0001199999999999999,0.0001199999999999999,0.9895045997822679,571765.0043164333
1.1,0.72,A110_U720,capacity,EMP,1.0,0.0,0.0,0.0,0.8744775759522486,704118.0145748667
1.1,0.72,A110_U720,capacity,EVENT-EMP,1.0,0.0,0.0,0.0,0.8398144697320544,704118.0145748667
1.1,0.72,A110_U720,capacity,GEV,1.0,0.0,0.0,0.0,0.8639826374422453,704118.0145748667
1.1,0.72,A110_U720,capacity,KDE,1.0,0.0,0.0,0.0,1.0175563751892054,704118.0145748667
1.1,0.72,A110_U720,capacity,TAIL,1.0,0.0,0.0,0.0,0.8035074945600373,704118.0145748667
1.1,0.74,A110_U740,capacity,EMP,1.0,0.0,0.0,0.0,0.7424610336889262,829316.8080625739
1.1,0.74,A110_U740,capacity,EVENT-EMP,1.0,0.0,0.0,0.0,0.7130308843256455,829316.8080625739
1.1,0.74,A110_U740,capacity,GEV,1.0,0.0,0.0,0.0,0.7335504759926312,829316.8080625739
1.1,0.74,A110_U740,capacity,KDE,1.0,0.0,0.0,0.0,0.8639397726546035,829316.8080625739
1.1,0.74,A110_U740,capacity,TAIL,1.0,0.0,0.0,0.0,0.6822050346324958,829316.8080625739
1.1,0.76,A110_U760,capacity,EMP,1.0,0.0,0.0,0.0,0.6495605039480686,947926.1913667192
1.1,0.76,A110_U760,capacity,EVENT-EMP,1.0,0.0,0.0,0.0,0.6238128057063196,947926.1913667192
1.1,0.76,A110_U760,capacity,GEV,1.0,0.0,0.0,0.0,0.6417648808984574,947926.1913667192
1.1,0.76,A110_U760,capacity,KDE,1.0,0.0,0.0,0.0,0.755839200500623,947926.1913667192
1.1,0.76,A110_U760,capacity,TAIL,1.0,0.0,0.0,0.0,0.5968440443131136,947926.1913667192
1.15,0.4,A115_U400,actual_maximum_demand,EMP,0.999,401.2766592780184,7.51951019303612e-05,4.8124865235431197e-05,1.23960305445903,401276.6592780184
